"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-1.local",,,,"User:","pg27752"
"Cmdline:","dstat -tcdmrsn --integer --output MPI_io4.txt",,,,"Date:","20 Mar 2015 01:34:05 WET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"swap",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","read","writ","used","free","recv","send"
20-03 01:34:05,0.912,0.077,98.996,0.013,0.000,0.001,206.843,1080.624,932438016.0,195133440.0,503902208.0,66022760448.0,0.013,0.201,0.0,1048567808.0,0.0,0.0
20-03 01:34:06,0.021,0.021,99.958,0.0,0.0,0.0,0.0,0.0,932454400.0,195133440.0,503902208.0,66022744064.0,0.0,0.0,0.0,1048567808.0,8098.0,6894.0
20-03 01:34:07,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,933101568.0,195133440.0,503906304.0,66022092800.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:08,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,933101568.0,195133440.0,503906304.0,66022092800.0,0.0,0.0,0.0,1048567808.0,240.0,162.0
20-03 01:34:09,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,933101568.0,195133440.0,503906304.0,66022092800.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:10,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,933093376.0,195133440.0,503906304.0,66022100992.0,0.0,0.0,0.0,1048567808.0,540.0,390.0
20-03 01:34:11,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,933093376.0,195133440.0,503906304.0,66022100992.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:12,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,933101568.0,195133440.0,503906304.0,66022092800.0,0.0,0.0,0.0,1048567808.0,1664.0,1252.0
20-03 01:34:13,0.313,0.396,98.957,0.313,0.0,0.021,0.0,4096.0,941572096.0,195133440.0,504602624.0,66012925952.0,0.0,1.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:14,7.399,0.771,91.830,0.0,0.0,0.0,0.0,0.0,1338257408.0,195133440.0,515268608.0,65605574656.0,0.0,0.0,0.0,1048567808.0,1175878.0,141160.0
20-03 01:34:15,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,1339179008.0,195133440.0,516272128.0,65603649536.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:16,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,1339453440.0,195133440.0,516276224.0,65603371008.0,0.0,0.0,0.0,1048567808.0,248.0,514.0
20-03 01:34:17,8.339,0.021,91.641,0.0,0.0,0.0,0.0,0.0,1339445248.0,195133440.0,516284416.0,65603371008.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:18,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1339211776.0,195133440.0,516284416.0,65603604480.0,0.0,0.0,0.0,1048567808.0,66.0,130.0
20-03 01:34:19,8.354,0.042,91.188,0.417,0.0,0.0,0.0,73728.0,1339195392.0,195141632.0,516284416.0,65603612672.0,0.0,18.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:20,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1338748928.0,195141632.0,516296704.0,65604046848.0,0.0,0.0,0.0,1048567808.0,192.0,452.0
20-03 01:34:21,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1338535936.0,195141632.0,516300800.0,65604255744.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:22,8.333,0.042,91.604,0.0,0.0,0.021,0.0,0.0,1338122240.0,195141632.0,516300800.0,65604669440.0,0.0,0.0,0.0,1048567808.0,316.0,788.0
20-03 01:34:23,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1338105856.0,195141632.0,516317184.0,65604669440.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:24,8.354,0.062,91.583,0.0,0.0,0.0,0.0,0.0,1337835520.0,195141632.0,516317184.0,65604939776.0,0.0,0.0,0.0,1048567808.0,126.0,130.0
20-03 01:34:25,8.339,0.021,91.641,0.0,0.0,0.0,0.0,0.0,1337712640.0,195141632.0,516321280.0,65605058560.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:26,8.335,0.042,91.602,0.0,0.0,0.021,0.0,0.0,1337470976.0,195141632.0,516321280.0,65605300224.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:27,8.358,0.042,91.601,0.0,0.0,0.0,0.0,0.0,1337462784.0,195141632.0,516329472.0,65605300224.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:28,8.335,0.042,91.602,0.0,0.0,0.021,0.0,0.0,1337372672.0,195141632.0,516329472.0,65605390336.0,0.0,0.0,0.0,1048567808.0,126.0,130.0
20-03 01:34:29,8.340,0.021,91.639,0.0,0.0,0.0,0.0,0.0,1337364480.0,195141632.0,516337664.0,65605390336.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:30,8.335,0.042,91.602,0.0,0.0,0.021,0.0,0.0,1337102336.0,195141632.0,516337664.0,65605652480.0,0.0,0.0,0.0,1048567808.0,156.0,220.0
20-03 01:34:31,8.337,0.021,91.642,0.0,0.0,0.0,0.0,0.0,1337090048.0,195141632.0,516349952.0,65605652480.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:32,8.337,0.042,91.205,0.417,0.0,0.0,0.0,12288.0,1337085952.0,195141632.0,516354048.0,65605652480.0,0.0,3.0,0.0,1048567808.0,66.0,130.0
20-03 01:34:33,8.356,0.042,91.602,0.0,0.0,0.0,0.0,0.0,1337081856.0,195141632.0,516358144.0,65605652480.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:34,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1336688640.0,195141632.0,516362240.0,65606041600.0,0.0,0.0,0.0,1048567808.0,308.0,382.0
20-03 01:34:35,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,1336688640.0,195141632.0,516370432.0,65606033408.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:36,8.339,0.042,91.620,0.0,0.0,0.0,0.0,0.0,1336569856.0,195141632.0,516370432.0,65606152192.0,0.0,0.0,0.0,1048567808.0,398.0,5464.0
20-03 01:34:37,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,1336561664.0,195141632.0,516378624.0,65606152192.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:34:38,8.335,0.063,91.602,0.0,0.0,0.0,0.0,0.0,1336561664.0,195141632.0,516378624.0,65606152192.0,0.0,0.0,0.0,1048567808.0,126.0,130.0
20-03 01:34:39,8.339,0.021,91.224,0.417,0.0,0.0,0.0,12288.0,1336549376.0,195141632.0,516390912.0,65606152192.0,0.0,3.0,0.0,1048567808.0,0.0,0.0
