"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-1.local",,,,"User:","pg27752"
"Cmdline:","dstat -tcdmrsn --integer --output MPI_io5.txt",,,,"Date:","20 Mar 2015 01:37:08 WET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"swap",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","read","writ","used","free","recv","send"
20-03 01:37:08,0.913,0.077,98.996,0.013,0.000,0.001,206.828,1083.440,933593088.0,195194880.0,507301888.0,66018144256.0,0.013,0.201,0.0,1048567808.0,0.0,0.0
20-03 01:37:09,0.0,0.062,99.938,0.0,0.0,0.0,0.0,0.0,933720064.0,195194880.0,507301888.0,66018017280.0,0.0,0.0,0.0,1048567808.0,6364.0,5232.0
20-03 01:37:10,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,933724160.0,195194880.0,507305984.0,66018009088.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:11,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,933851136.0,195194880.0,507305984.0,66017882112.0,0.0,0.0,0.0,1048567808.0,900.0,666.0
20-03 01:37:12,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,933851136.0,195194880.0,507305984.0,66017882112.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:13,0.0,0.042,99.937,0.0,0.0,0.021,0.0,4096.0,934113280.0,195194880.0,507305984.0,66017619968.0,0.0,1.0,0.0,1048567808.0,1424.0,1138.0
20-03 01:37:14,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,934105088.0,195194880.0,507314176.0,66017619968.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:15,14.766,2.632,82.268,0.313,0.0,0.021,0.0,0.0,1003544576.0,195194880.0,519630848.0,65935863808.0,0.0,0.0,0.0,1048567808.0,911620.0,145590.0
20-03 01:37:16,11.978,0.167,87.855,0.0,0.0,0.0,0.0,0.0,949612544.0,195194880.0,505020416.0,66004406272.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:17,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,945041408.0,195194880.0,508026880.0,66005970944.0,0.0,0.0,0.0,1048567808.0,17722.0,21226.0
20-03 01:37:18,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,945033216.0,195194880.0,508035072.0,66005970944.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:19,7.801,2.753,89.111,0.292,0.0,0.042,0.0,0.0,1362079744.0,195194880.0,526061568.0,65570897920.0,0.0,0.0,0.0,1048567808.0,22874.0,16996.0
